Building,location_name,yelp_id,You have to read this
,Block 37,block-37-chicago,
Block 37,Simply Thalia,simply-thalia-chicago,
Block 37,Starfruit Cafe,starfruit-cafe-chicago,
Block 37,Which Wich Superior Sandwhiches,which-wich-superior-sandwiches-chicago,
Block 37,Au Bon Pain,au-bon-pain-chicago-17,
69 W Washington St,Around the Clock Repair,around-the-clock-repair-chicago,http://www.yelp.com/biz/around-the-clock-repair-chicago#hrid:CcCbm3y1Qh-2JGnY8hFi9A
69 W Washington St,John Angileri's Barber Shop,john-angileris-barber-shop-chicago,
69 W Washington St,Chicago Loop Express - Secretary of State Facility/DMV,chicago-loop-express-secretary-of-state-facility-dmv-chicago,
69 W Washington St,Ace Shoe Clinic,ace-shoe-clinic-chicago-3,
10 N Dearborn St,Trattoria No. 10,trattoria-no-10-chicago,
151 N Michigan,Chicago Kernel Gourmet Popcorn,chicago-kernel-gourmet-popcorn-chicago,
151 N Michigan,M Bar,m-bar-chicago,
233 E Wacker Dr,Khyber Pass,khyber-pass-chicago,
233 E Wacker Dr,Oriental Express,oriental-express-chicago-2,
25 E Washington St,Excellent Shoe Repair,excellent-shoe-repair-chicago,
25 E Washington St,Image Nails,image-nails-chicago-3,
225 N Michigan Avenue,Tokyo Lunchbox,tokyo-lunchbox-chicago,
40 W Lake St,Starbucks,starbucks-chicago-152,
25 E Washington St,Image Nails,image-nails-chicago-3,
